task=human_or_worm model=ph folds=5 epochs=30 head_batch=512 feat_batch=128 lr=0.001 device=mps smoke=False
paper Table 1 (full fine-tune): 0.973 ± 0.001
  (we are running a frozen-backbone linear probe — expect lower numbers)
loaded 100,000 sequences, seq_len=200
pretokenized in 4.1s, ids shape=(100000, 201)
loading kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3...
[human_or_worm PH fold 4/5] epoch 16/30  train_loss=0.5593  val_loss=0.5562  val_acc=0.7432  (0.2s)
[human_or_worm PH fold 4/5] epoch 17/30  train_loss=0.5557  val_loss=0.5527  val_acc=0.7467  (0.2s)
[human_or_worm PH fold 4/5] epoch 18/30  train_loss=0.5524  val_loss=0.5499  val_acc=0.7506  (0.2s)
[human_or_worm PH fold 4/5] epoch 19/30  train_loss=0.5496  val_loss=0.5471  val_acc=0.7537  (0.2s)
[human_or_worm PH fold 4/5] epoch 20/30  train_loss=0.5471  val_loss=0.5446  val_acc=0.7563  (0.2s)
[human_or_worm PH fold 4/5] epoch 21/30  train_loss=0.5448  val_loss=0.5425  val_acc=0.7591  (0.2s)
[human_or_worm PH fold 4/5] epoch 22/30  train_loss=0.5429  val_loss=0.5407  val_acc=0.7615  (0.2s)
[human_or_worm PH fold 4/5] epoch 23/30  train_loss=0.5412  val_loss=0.5391  val_acc=0.7633  (0.2s)
[human_or_worm PH fold 4/5] epoch 24/30  train_loss=0.5397  val_loss=0.5378  val_acc=0.7652  (0.2s)
[human_or_worm PH fold 4/5] epoch 25/30  train_loss=0.5385  val_loss=0.5366  val_acc=0.7666  (0.2s)
[human_or_worm PH fold 4/5] epoch 26/30  train_loss=0.5374  val_loss=0.5356  val_acc=0.7668  (0.2s)
[human_or_worm PH fold 4/5] epoch 27/30  train_loss=0.5365  val_loss=0.5347  val_acc=0.7686  (0.2s)
[human_or_worm PH fold 4/5] epoch 28/30  train_loss=0.5356  val_loss=0.5339  val_acc=0.7695  (0.2s)
[human_or_worm PH fold 4/5] epoch 29/30  train_loss=0.5349  val_loss=0.5332  val_acc=0.7705  (0.2s)
[human_or_worm PH fold 4/5] epoch 30/30  train_loss=0.5342  val_loss=0.5326  val_acc=0.7711  (0.2s)
[human_or_worm PH fold 5/5] epoch 1/30  train_loss=0.6771  val_loss=0.6599  val_acc=0.6230  (0.2s)
[human_or_worm PH fold 5/5] epoch 2/30  train_loss=0.6509  val_loss=0.6422  val_acc=0.6351  (0.2s)
[human_or_worm PH fold 5/5] epoch 3/30  train_loss=0.6366  val_loss=0.6299  val_acc=0.6486  (0.2s)
[human_or_worm PH fold 5/5] epoch 4/30  train_loss=0.6252  val_loss=0.6191  val_acc=0.6634  (0.2s)
[human_or_worm PH fold 5/5] epoch 5/30  train_loss=0.6149  val_loss=0.6092  val_acc=0.6765  (0.2s)
[human_or_worm PH fold 5/5] epoch 6/30  train_loss=0.6055  val_loss=0.6005  val_acc=0.6900  (0.2s)
[human_or_worm PH fold 5/5] epoch 7/30  train_loss=0.5967  val_loss=0.5918  val_acc=0.6994  (0.2s)
[human_or_worm PH fold 5/5] epoch 8/30  train_loss=0.5886  val_loss=0.5842  val_acc=0.7062  (0.2s)
[human_or_worm PH fold 5/5] epoch 9/30  train_loss=0.5813  val_loss=0.5770  val_acc=0.7176  (0.2s)
[human_or_worm PH fold 5/5] epoch 10/30  train_loss=0.5745  val_loss=0.5705  val_acc=0.7238  (0.2s)
[human_or_worm PH fold 5/5] epoch 11/30  train_loss=0.5683  val_loss=0.5646  val_acc=0.7311  (0.2s)
[human_or_worm PH fold 5/5] epoch 12/30  train_loss=0.5626  val_loss=0.5593  val_acc=0.7359  (0.2s)
[human_or_worm PH fold 5/5] epoch 13/30  train_loss=0.5575  val_loss=0.5543  val_acc=0.7429  (0.2s)
[human_or_worm PH fold 5/5] epoch 14/30  train_loss=0.5528  val_loss=0.5499  val_acc=0.7477  (0.2s)
[human_or_worm PH fold 5/5] epoch 15/30  train_loss=0.5486  val_loss=0.5459  val_acc=0.7530  (0.2s)
[human_or_worm PH fold 5/5] epoch 16/30  train_loss=0.5448  val_loss=0.5422  val_acc=0.7572  (0.2s)
[human_or_worm PH fold 5/5] epoch 17/30  train_loss=0.5415  val_loss=0.5391  val_acc=0.7594  (0.2s)
[human_or_worm PH fold 5/5] epoch 18/30  train_loss=0.5384  val_loss=0.5363  val_acc=0.7640  (0.2s)
[human_or_worm PH fold 5/5] epoch 19/30  train_loss=0.5357  val_loss=0.5337  val_acc=0.7661  (0.2s)
[human_or_worm PH fold 5/5] epoch 20/30  train_loss=0.5334  val_loss=0.5315  val_acc=0.7670  (0.2s)
[human_or_worm PH fold 5/5] epoch 21/30  train_loss=0.5313  val_loss=0.5296  val_acc=0.7690  (0.2s)
[human_or_worm PH fold 5/5] epoch 22/30  train_loss=0.5296  val_loss=0.5279  val_acc=0.7710  (0.2s)
[human_or_worm PH fold 5/5] epoch 23/30  train_loss=0.5280  val_loss=0.5265  val_acc=0.7719  (0.2s)
[human_or_worm PH fold 5/5] epoch 24/30  train_loss=0.5266  val_loss=0.5252  val_acc=0.7751  (0.2s)
[human_or_worm PH fold 5/5] epoch 25/30  train_loss=0.5255  val_loss=0.5242  val_acc=0.7738  (0.2s)
[human_or_worm PH fold 5/5] epoch 26/30  train_loss=0.5245  val_loss=0.5233  val_acc=0.7748  (0.2s)
[human_or_worm PH fold 5/5] epoch 27/30  train_loss=0.5236  val_loss=0.5225  val_acc=0.7769  (0.2s)
[human_or_worm PH fold 5/5] epoch 28/30  train_loss=0.5229  val_loss=0.5217  val_acc=0.7775  (0.2s)
[human_or_worm PH fold 5/5] epoch 29/30  train_loss=0.5222  val_loss=0.5211  val_acc=0.7782  (0.2s)
[human_or_worm PH fold 5/5] epoch 30/30  train_loss=0.5216  val_loss=0.5205  val_acc=0.7800  (0.2s)

=== human_or_worm / Caduceus-PH (frozen backbone, linear probe) ===
  ours:  0.7768 ± 0.0034  per-fold=['0.7748', '0.7799', '0.7782', '0.7711', '0.7800']
  paper: 0.9730 ± 0.0010  (full fine-tune)
  delta: -19.62 pp
